160.242.19.254 min=263.861ms avg=302.670ms max=343.325ms
41.110.39.130 min=150.794ms avg=151.998ms max=153.705ms
213.158.175.240 min=160.609ms avg=162.019ms max=163.025ms
102.214.66.39 min=192.875ms avg=193.402ms max=193.915ms
102.214.66.19 min=200.132ms avg=201.501ms max=202.473ms
212.60.92.134 min=160.866ms avg=162.231ms max=162.956ms
105.235.237.2 min=229.520ms avg=248.379ms max=286.160ms
197.227.12.18 min=253.268ms avg=313.298ms max=356.154ms
41.210.185.162 min=246.147ms avg=299.943ms max=356.660ms
69.48.239.124 min=282.288ms avg=318.108ms max=355.216ms
23.249.55.42 min=213.653ms avg=269.295ms max=341.155ms
69.48.238.200 min=289.126ms avg=324.922ms max=370.809ms
189.25.101.151 min=274.670ms avg=331.181ms max=451.630ms
189.25.97.217 min=239.054ms avg=275.593ms max=314.406ms
84.17.57.129 min=199.293ms avg=217.814ms max=284.974ms
23.249.58.14 min=201.589ms avg=202.287ms max=202.780ms
169.150.202.193 min=160.440ms avg=162.369ms max=165.236ms
49.205.75.2 min=240.156ms avg=281.937ms max=321.015ms
69.48.236.198 min=335.452ms avg=366.917ms max=395.655ms
23.249.60.154 min=160.589ms avg=164.289ms max=172.454ms
89.187.160.1 min=164.496ms avg=164.815ms max=165.000ms
66.35.31.81 min=152.486ms avg=152.959ms max=154.527ms
89.187.162.1 min=241.163ms avg=274.136ms max=312.814ms
96.45.38.22 min=230.964ms avg=274.277ms max=327.964ms
176.23.128.102 min=261.588ms avg=305.582ms max=351.379ms
156.146.52.1 min=154.558ms avg=156.027ms max=158.383ms
69.48.237.66 min=165.123ms avg=166.042ms max=167.313ms
189.25.98.63 min=200.983ms avg=202.674ms max=207.307ms
185.180.12.40 min=125.470ms avg=127.069ms max=130.307ms
207.211.214.65 min=109.395ms avg=110.360ms max=111.186ms
185.3.160.57 min=108.681ms avg=109.151ms max=109.784ms
37.19.203.1 min=143.395ms avg=144.731ms max=147.102ms
89.187.165.1 min=117.508ms avg=119.144ms max=121.812ms
185.152.65.113 min=124.186ms avg=125.973ms max=126.930ms
178.215.228.109 min=112.157ms avg=113.408ms max=114.243ms
185.102.219.93 min=121.134ms avg=121.950ms max=122.778ms
96.45.39.38 min=110.406ms avg=111.651ms max=113.178ms
185.93.3.50 min=126.694ms avg=127.671ms max=129.065ms
148.230.45.213 min=111.190ms avg=116.285ms max=130.102ms
138.199.14.66 min=112.644ms avg=113.635ms max=114.600ms
185.93.2.193 min=109.658ms avg=110.430ms max=111.421ms
96.45.42.156 min=112.180ms avg=113.219ms max=113.862ms
96.45.41.167 min=111.270ms avg=111.844ms max=112.816ms
185.59.221.51 min=129.795ms avg=130.831ms max=131.311ms
96.45.40.45 min=98.395ms avg=98.733ms max=99.058ms
169.150.252.2 min=152.368ms avg=153.080ms max=154.534ms
169.150.242.129 min=131.315ms avg=132.926ms max=136.310ms
87.249.137.8 min=127.350ms avg=129.134ms max=130.005ms
84.17.59.129 min=124.591ms avg=125.424ms max=126.558ms
217.61.40.96 min=127.441ms avg=128.759ms max=129.893ms
185.102.218.1 min=115.357ms avg=116.334ms max=117.157ms
185.246.208.67 min=126.883ms avg=128.262ms max=129.189ms
109.61.94.65 min=139.435ms avg=139.832ms max=140.213ms
185.102.217.170 min=137.018ms avg=137.725ms max=138.924ms
185.76.9.135 min=134.685ms avg=135.503ms max=136.351ms
156.146.40.65 min=126.506ms avg=127.472ms max=128.128ms
37.19.218.65 min=142.211ms avg=143.169ms max=143.601ms
148.230.60.200 min=144.354ms avg=144.883ms max=145.308ms
138.199.4.1 min=168.030ms avg=168.778ms max=169.172ms
79.127.209.1 min=153.557ms avg=176.747ms max=232.896ms
156.146.53.53 min=80.985ms avg=83.023ms max=86.802ms
121.127.43.65 min=60.030ms avg=60.500ms max=61.155ms
173.243.131.29 min=28.404ms avg=29.464ms max=30.069ms
138.199.57.129 min=21.309ms avg=22.325ms max=23.743ms
96.45.43.6 min=26.858ms avg=28.189ms max=29.556ms
204.155.243.172 min=21.634ms avg=23.608ms max=24.845ms
66.35.30.9 min=56.680ms avg=57.468ms max=57.899ms
37.19.206.20 min=29.177ms avg=29.637ms max=30.232ms
66.35.22.79 min=36.349ms avg=37.051ms max=37.386ms
185.152.66.67 min=36.058ms avg=37.261ms max=37.784ms
109.61.86.65 min=56.636ms avg=58.154ms max=58.669ms
185.93.1.65 min=9.176ms avg=10.607ms max=12.056ms
89.187.164.1 min=30.973ms avg=31.845ms max=32.553ms
66.35.27.207 min=35.217ms avg=36.010ms max=36.364ms
37.19.216.1 min=38.017ms avg=39.145ms max=40.183ms
185.152.67.2 min=78.586ms avg=94.984ms max=131.609ms
195.181.162.195 min=51.819ms avg=83.339ms max=120.943ms
23.249.54.234 min=51.286ms avg=84.885ms max=136.941ms
185.59.223.8 min=29.725ms avg=30.767ms max=32.004ms
209.40.123.215 min=35.871ms avg=37.629ms max=39.706ms
66.35.20.123 min=62.674ms avg=63.614ms max=64.242ms
148.230.59.38 min=65.635ms avg=66.734ms max=67.609ms
84.17.41.11 min=49.681ms avg=50.724ms max=52.023ms
143.244.63.144 min=198.765ms avg=200.619ms max=203.705ms
96.45.44.87 min=206.486ms avg=220.442ms max=261.368ms
72.1.86.46 min=193.257ms avg=193.825ms max=194.581ms
154.81.51.4 min=254.639ms avg=295.314ms max=331.742ms
103.146.200.98 min=244.051ms avg=278.965ms max=318.877ms
